Symbol|ETF Name|Total Assets*|YTD|Avg Volume|Previous Closing Price|1-Day Change|Overall Rating
GLD|SPDR Gold Shares|$61,238,000|12.05%|8,657,246|$214.21|-0.46%|
IAU|iShares Gold Trust|$28,216,500|12.12%|7,586,264|$43.76|-0.43%|
SLV|iShares Silver Trust|$11,236,900|14.42%|27,449,152|$24.92|-0.60%|
GLDM|SPDR Gold MiniShares Trust|$7,062,320|12.17%|4,281,575|$45.89|-0.43%|
SGOL|abrdn Physical Gold Shares ETF|$3,087,460|12.06%|3,472,143|$22.12|-0.49%|
SIVR|abrdn Physical Silver Shares ETF|$1,196,430|14.49%|1,289,211|$26.07|-0.61%|
BAR|GraniteShares Gold Trust|$1,031,670|12.16%|824,183|$22.87|-0.48%|
PPLT|abrdn Physical Platinum Shares ETF|$1,011,600|-1.27%|163,257|$90.00|2.56%|
GLTR|abrdn Physical Precious Metals Basket Shares ETF|$981,506|10.50%|30,390|$100.58|-0.27%|
OUNZ|VanEck Merk Gold Trust|$907,648|12.02%|1,185,484|$22.36|-0.53%|
AAAU|Goldman Sachs Physical Gold ETF|$684,843|12.11%|2,879,427|$22.91|-0.43%|
PALL|abrdn Physical Palladium Shares ETF|$234,113|-11.61%|67,030|$89.35|-0.61%|
DBP|Invesco DB Precious Metals Fund|$144,243|12.89%|10,625|$56.39|-0.42%|
SLVO|Credit Suisse X-Links Silver Shares Covered Call ETN|$101,892|5.47%|10,424|$77.92|-0.55%|
IGLD|FT Vest Gold Strategy Target Income ETF|$96,990|7.75%|25,052|$20.00|0.00%|
GLDI|Credit Suisse X-Links Gold Shares Covered Call ETN|$68,541|2.67%|2,603|$148.70|-0.38%|
IAUF|iShares Gold Strategy ETF|$48,373|11.90%|10,857|$60.83|-0.51%|
PLTM|GraniteShares Platinum Trust|$39,199|-1.45%|55,800|$9.51|2.48%|
BGLD|FT Vest Gold Strategy Quarterly Buffer ETF|$22,200|7.38%|16,089|$20.21|0.15%|
PSLV|The Sprott Physical Silver Trust|N/A|13.99%|3,643,943|$9.21|-0.43%|
USO|United States Oil Fund LP|$1,368,150|13.28%|4,262,521|$75.50|-0.21%|
UNG|United States Natural Gas Fund LP|$825,556|-20.27%|7,234,726|$16.17|0.68%|
DBO|Invesco DB Oil Fund|$250,560|9.78%|341,117|$15.27|-0.13%|
OILK|ProShares K-1 Free Crude Oil Strategy ETF|$149,504|11.61%|51,478|$46.51|-0.09%|
BNO|United States Brent Oil Fund LP|$128,600|13.29%|537,062|$30.94|-0.26%|
UGA|United States Gasoline Fund LP|$92,650|11.24%|47,786|$67.52|-1.42%|
